Time [s], Analyzer Name, Decoded Protocol Result
4.581654666666667,SPI,MOSI: ' ' (0x20)
4.582557625000000,SPI,MOSI: ' ' (0x20)
4.583460583333333,SPI,MOSI: ' ' (0x20)
4.584363458333334,SPI,MOSI: ' ' (0x20)
4.585266416666666,SPI,MOSI: ' ' (0x20)
4.586169375000000,SPI,MOSI: ' ' (0x20)
4.587072333333333,SPI,MOSI: ' ' (0x20)
4.587975291666667,SPI,MOSI: ' ' (0x20)
4.588878208333333,SPI,MOSI: ' ' (0x20)
4.589781166666667,SPI,MOSI: ' ' (0x20)
4.590684125000000,SPI,MOSI: ' ' (0x20)
4.591587083333334,SPI,MOSI: ' ' (0x20)
4.592490041666666,SPI,MOSI: ' ' (0x20)
4.593393000000000,SPI,MOSI: ' ' (0x20)
4.594295916666667,SPI,MOSI: ' ' (0x20)
4.595198875000000,SPI,MOSI: ' ' (0x20)
4.607884125000000,SPI,MOSI: '0' (0x00)
4.608689208333334,SPI,MOSI: '30' (0x1E)
4.609520458333333,SPI,MOSI: '236' (0xEC)
4.610419958333333,SPI,MOSI: '143' (0x8F)
4.611397958333334,SPI,MOSI: '143' (0x8F)
4.612577291666667,SPI,MOSI: '0' (0x00)
4.613777000000000,SPI,MOSI: '138' (0x8A)
4.614976708333334,SPI,MOSI: '175' (0xAF)
4.616176375000000,SPI,MOSI: 7 (0x37)
4.617386083333333,SPI,MOSI: '1' (0x01)
4.635073708333334,SPI,MOSI: '233' (0xE9)
4.635819166666667,SPI,MOSI: '27' (0x1B)
4.636652708333333,SPI,MOSI: '224' (0xE0)
4.637368666666666,SPI,MOSI: '1' (0x01)
4.638201250000000,SPI,MOSI: '8' (0x08)
4.639646708333333,SPI,MOSI: '0' (0x00)
4.640356708333333,SPI,MOSI: '2' (0x02)
4.641295625000000,SPI,MOSI: '0' (0x00)
4.642180541666667,SPI,MOSI: '1' (0x01)
4.642944208333334,SPI,MOSI: '128' (0x80)
4.643707541666667,SPI,MOSI: '1' (0x01)
4.644489416666667,SPI,MOSI: '12' (0x0C)
4.645270291666667,SPI,MOSI: '204' (0xCC)
4.645970375000000,SPI,MOSI: '204' (0xCC)
4.664311083333334,SPI,MOSI: '232' (0xE8)
4.665128416666667,SPI,MOSI: '30' (0x1E)
4.665927875000000,SPI,MOSI: '239' (0xEF)
4.667844791666667,SPI,MOSI: '0' (0x00)
4.668563416666666,SPI,MOSI: '0' (0x00)
4.669363500000000,SPI,MOSI: '31' (0x1F)
4.670134791666666,SPI,MOSI: J (0x4A)
4.670967666666667,SPI,MOSI: '0' (0x00)
4.671832041666667,SPI,MOSI: '31' (0x1F)
4.690470291666666,SPI,MOSI: '192' (0xC0)
4.691233958333333,SPI,MOSI: '27' (0x1B)
4.692123500000000,SPI,MOSI: v (0x76)
4.693042541666666,SPI,MOSI: '0' (0x00)
4.693765458333333,SPI,MOSI: '146' (0x92)
4.694570208333333,SPI,MOSI: '16' (0x10)
4.712661125000000,SPI,MOSI: '192' (0xC0)
4.713374458333333,SPI,MOSI: '27' (0x1B)
4.714202375000000,SPI,MOSI: v (0x76)
4.714908708333334,SPI,MOSI: '1' (0x01)
4.715704500000000,SPI,MOSI: '3' (0x03)
4.716478125000000,SPI,MOSI: '16' (0x10)
4.734834416666667,SPI,MOSI: '192' (0xC0)
4.735548041666667,SPI,MOSI: '27' (0x1B)
4.736385250000000,SPI,MOSI: v (0x76)
4.737284083333333,SPI,MOSI: '2' (0x02)
4.738000708333334,SPI,MOSI: '5' (0x05)
4.738871375000000,SPI,MOSI: '16' (0x10)
4.756950041666666,SPI,MOSI: '192' (0xC0)
4.757728291666667,SPI,MOSI: '29' (0x1D)
4.758583375000000,SPI,MOSI: v (0x76)
4.759411625000000,SPI,MOSI: '128' (0x80)
4.760177958333333,SPI,MOSI: '0' (0x00)
4.761061208333333,SPI,MOSI: '16' (0x10)
4.761763583333333,SPI,MOSI: '128' (0x80)
4.762566333333333,SPI,MOSI: '146' (0x92)
4.781086291666667,SPI,MOSI: '195' (0xC3)
4.781898666666667,SPI,MOSI: '31' (0x1F)
4.782729583333333,SPI,MOSI: | (0x7C)
4.783590625000000,SPI,MOSI: '0' (0x00)
4.784326791666667,SPI,MOSI: '16' (0x10)
4.785195500000000,SPI,MOSI: '0' (0x00)
4.785975041666667,SPI,MOSI: '254' (0xFE)
4.786737708333333,SPI,MOSI: '255' (0xFF)
4.787470583333334,SPI,MOSI: '255' (0xFF)
4.788224625000000,SPI,MOSI: '223' (0xDF)
4.788957791666666,SPI,MOSI: ? (0x3F)
4.789820833333334,SPI,MOSI: ) (0x29)
4.790705083333333,SPI,MOSI: COMMA (0x2C)
4.791463458333333,SPI,MOSI: '240' (0xF0)
4.792282791666667,SPI,MOSI: '222' (0xDE)
4.793055708333333,SPI,MOSI: / (0x2F)
4.793792208333334,SPI,MOSI: a (0x61)
4.794499208333334,SPI,MOSI: '244' (0xF4)
4.795280750000000,SPI,MOSI: '244' (0xF4)
4.796063958333334,SPI,MOSI: '223' (0xDF)
4.796786208333334,SPI,MOSI: '221' (0xDD)
4.797514083333334,SPI,MOSI: '191' (0xBF)
4.798258875000000,SPI,MOSI: '255' (0xFF)
4.799046708333333,SPI,MOSI: '190' (0xBE)
4.799875625000000,SPI,MOSI: '255' (0xFF)
4.800725458333333,SPI,MOSI: '255' (0xFF)
4.801502666666667,SPI,MOSI: '3' (0x03)
4.802346833333333,SPI,MOSI: '0' (0x00)
4.803062458333334,SPI,MOSI: '224' (0xE0)
4.803843375000000,SPI,MOSI: '5' (0x05)
4.804549375000000,SPI,MOSI: @ (0x40)
4.805359416666667,SPI,MOSI: '0' (0x00)
4.806131375000000,SPI,MOSI: '0' (0x00)
4.806860541666667,SPI,MOSI: '0' (0x00)
4.825401750000000,SPI,MOSI: '195' (0xC3)
4.826169375000000,SPI,MOSI: '31' (0x1F)
4.827028458333333,SPI,MOSI: | (0x7C)
4.827753333333333,SPI,MOSI: '1' (0x01)
4.828538208333334,SPI,MOSI: '16' (0x10)
4.829369458333334,SPI,MOSI: '1' (0x01)
4.830153333333334,SPI,MOSI: '255' (0xFF)
4.831035916666667,SPI,MOSI: '255' (0xFF)
4.831810166666667,SPI,MOSI: '255' (0xFF)
4.832519500000000,SPI,MOSI: '255' (0xFF)
4.833271916666667,SPI,MOSI: '255' (0xFF)
